,#TFBS_nonBlackList,#TFMS,TFBS_nonBlackList dis-to-neighbor median,TFMS dis-to-neighbor median,TFMS percentile-1,TFMS percentile-5,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater,TFBS_nonBlackList overlap SE,TFMS overlap SE,fisher_exact_s,fisher_exact_p,log10-dis ks_2samp-s signed,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s signed std,PeaksFCAbove10,log10-dis T-test-p Fisher-TF-Celltype-combined,log10-dis Wilcoxon-rank-sum-p Fisher-TF-Celltype-combined,fisher_exact_p Fisher-TF-Celltype-combined,log10-dis ks_2samp-p signed Fisher-TF-Celltype-combined
COLO-320_CDX2,10429.0,10429.0,112675.0,175423.0,2301.2200000000003,12344.2,21.07353239990354,1.4492471353096493e-97,20.59001160662627,3.4311977294242946e-94,0.1418160897497363,5.879462176411919e-92,0.1418160897497363,7.028798113492394e-92,0.020999137021766257,0.00985466684344978,0.0,0.0,0.0,0.0,0.1418160897497363,7.028798113492394e-92,0.00377475040142361,1575.0,8.778464000336425e-43,2.5636564971038017e-41,0.0,2.586446146160482e-40
U937_CEBPA,62077.5,62077.5,18537.75,33781.125,392.97,2289.375,53.944078919492675,0.0,61.89610846474533,0.0,0.17914994413578034,0.0,0.17914994413578034,0.0,0.023042458840850155,4.207642131810131e-12,0.0,0.0,0.0,0.0,0.17914994413578034,0.0,0.001636604514560775,31391.0,0.0,0.0,0.0,0.0
HepG2_CEBPA,59222.5,59222.5,19745.25,32212.25,371.545,2175.1625,41.87547542158072,0.0,51.29485018881108,0.0,0.1544441174724561,0.0,0.1544441174724561,0.0,0.02233954852085715,5.229525035127812e-13,1078.5,126.0,8.7,9.200000000002136e-185,0.1544441174724561,0.0,0.001400457255434329,25489.0,0.0,0.0,3.1921777604583464e-163,0.0
None_CEBPA,47022.0,47022.0,26456.5,40558.25,466.605,2761.05,33.83668405559127,1.8208142752517813e-249,40.657396286969416,0.0,0.13479860490834078,0.0,0.13479860490834078,0.0,0.017438645740291803,6.055503319624576e-07,0.0,0.0,0.0,0.0,0.13479860490834078,0.0,0.0016121011622660375,16739.0,9.412520640112302e-109,0.0,0.0,0.0
SGBS_CEBPA,14280.0,14280.0,88513.0,134572.25,1633.2150000000001,9393.85,20.71660060525175,1.2222122619520281e-94,22.73403024794655,2.1100205028549824e-114,0.13354341736694678,1.6691010464000153e-111,0.13354341736694678,2.1948308591091777e-111,0.021918767507002838,0.0010255840772723044,0.0,0.0,0.0,0.0,0.13354341736694678,2.1948308591091777e-111,0.003551667793243261,1429.0,1.6374422967151424e-41,4.278238352653203e-50,0.0,8.741402224753653e-49
SKH1_CEBPA,7577.0,7577.0,151366.5,315112.75,4092.0975000000003,22572.7375,25.38824100961385,3.537790284783883e-76,25.902946325615403,5.639328440199381e-75,0.22461272260076737,3.278541879138858e-86,0.22461272260076737,1.639270939569429e-86,0.03580464456988279,0.0015306972236431267,0.0,0.0,0.0,0.0,0.22461272260076737,1.639270939569429e-86,0.004587570032367003,1121.0,7.54735056861372e-127,5.121890985060304e-137,0.0,6.906522209884449e-149
GM12878_CEBPA,11122.0,11122.0,77523.5,172910.25,2211.1800000000003,12284.3,34.930949257981254,2.773320788362033e-258,34.80549739898595,2.0525821257977792e-265,0.2473167976172136,1.247081561515304e-289,0.2473167976172136,6.23540780757652e-290,0.03371695738176583,3.1203169475662917e-06,299.0,41.0,7.47,3.39e-50,0.2473167976172136,6.23540780757652e-290,0.003693640937764839,4844.0,0.0,0.0,5.453675469850904e-133,0.0
Kasumi-1_CEBPA,8207.0,8207.0,117718.0,234579.5,2930.0299999999997,16536.6,26.044163275438855,1.4711612106673153e-146,24.613935825029447,8.975955025081152e-134,0.2067747045205313,6.50244572280869e-154,0.2067747045205313,3.25122286140435e-154,0.03484830023150968,4.6875071432779655e-05,0.0,0.0,0.0,0.0,0.2067747045205313,3.25122286140435e-154,0.0033843155658078265,1248.0,4.6325441850359954e-64,1.6537014218887473e-58,0.0,2.19295066078105e-67
K562_CEBPA,30720.5,30720.5,45709.0,106051.5,1295.64,7391.2125,51.726716438415885,9.888715796718555e-249,57.214262256644325,3.868984444533355e-277,0.24390680798307196,5.030334039245367e-290,0.24390680798307196,1.7159311220812458e-286,0.031725363853169736,1.9194915784869092e-07,1520.0,138.75,12.9,4.479999999999999e-155,0.24390680798307196,1.7159311220812458e-286,0.002910537906913858,11080.0,0.0,0.0,0.0,0.0
ECC-1_CEBPB,44926.0,44926.0,25324.0,43551.25,574.375,2979.0,50.230043880437805,0.0,53.17428557814986,0.0,0.16710813337488314,0.0,0.16710813337488314,0.0,0.016204425054534122,7.407438464251726e-06,0.0,0.0,0.0,0.0,0.16710813337488314,0.0,0.001931548197084998,6944.0,0.0,0.0,0.0,0.0
H1_CEBPB,56807.0,56807.0,29229.0,34913.5,469.03,2382.5,15.318672952179401,6.731705214236923e-53,19.52307282556282,7.016844853898956e-85,0.06074075378034394,1.5592183540343962e-91,0.06074075378034394,9.093805206554682e-92,0.004119210660658018,0.3798364531869464,846.0,173.0,4.95,7.799999999999998e-108,0.06074075378034394,9.093805206554682e-92,0.0016324334891173406,9200.0,2.1980755521921588e-23,2.834286740681794e-37,3.0452834181864595e-47,2.8925815316399654e-40
LoVo_CEBPB,6536.0,6536.0,140525.0,291425.0,3835.65,20229.5,28.05782392655391,2.947284478917736e-168,24.479151702972356,2.5391415823004262e-132,0.2136627906976744,5.395819752776271e-131,0.2136627906976744,2.697909876388126e-131,0.0322062423500612,0.0011367441682822474,0.0,0.0,0.0,0.0,0.2136627906976744,2.697909876388126e-131,0.004651188209085161,566.0,1.7474085215565485e-73,7.061251565948603e-58,0.0,1.9706781826155704e-57
MCF-7_CEBPB,92084.0,92084.0,14212.5,22453.0,314.41499999999996,1536.5,57.57609495035134,0.0,66.03563465655441,0.0,0.1484079753268754,0.0,0.1484079753268754,0.0,0.010886799009599935,1.800526753772427e-05,824.0,178.5,4.65,4.4599999999999996e-100,0.1484079753268754,0.0,0.0012808463165129736,19631.0,0.0,0.0,7.121219226565032e-44,0.0
HepG2_CEBPB,56935.0,56935.0,17554.0,34811.5,472.34,2375.5,56.76651660767041,0.0,61.21051496898812,0.0,0.20863265126899094,0.0,0.20863265126899094,0.0,0.019574953894792302,6.755251859214488e-09,1232.0,170.5,7.365,4.199999999999999e-189,0.20863265126899094,0.0,0.0015645447517680764,22140.0,0.0,0.0,2.4214960362643764e-214,0.0
None_CEBPB,87581.0,87581.0,17496.5,23472.0,326.8,1609.5,46.13907076156248,0.0,53.39008117482737,0.0,0.1723422073862631,0.0,0.1723422073862631,0.0,0.017151741293532308,9.23067096820104e-09,0.0,0.0,0.0,0.0,0.1723422073862631,0.0,0.0011779072521722685,26549.0,0.0,0.0,0.0,0.0
IMR90_CEBPB,191651.0,191651.0,8425.0,12379.5,180.0,859.0,71.83690043942879,0.0,87.2812951825031,0.0,0.14037234347851046,0.0,0.14037234347851046,0.0,0.01196445622511753,1.2026873791422805e-12,2990.0,934.0,3.24,1.619999999999999e-250,0.14037234347851046,0.0,0.0007010956177259223,64515.0,0.0,0.0,3.2913247749728283e-109,0.0
HeLa_CEBPB,154889.0,154889.0,8690.0,14519.5,219.0,1006.0,90.56622534910439,0.0,99.9509012579039,0.0,0.16589622245608146,0.0,0.16589622245608146,0.0,0.009926463467386324,2.3309578811898056e-07,5224.0,1334.0,4.015,0.0,0.16589622245608146,0.0,0.000926159761944443,51164.0,0.0,0.0,0.0,0.0
LS180_CEBPB,110376.5,110376.5,13448.25,19404.0,286.04,1337.5,49.7737557467816,0.0,59.00300206436609,0.0,0.12339114905325604,0.0,0.12339114905325604,0.0,0.008829338656402147,0.0002438306984733943,0.0,0.0,0.0,0.0,0.12339114905325604,0.0,0.0011146026206345807,32046.5,0.0,0.0,0.0,0.0
A549_CEBPB,14938.0,14938.0,61626.75,127338.5,1665.9375,8802.275,37.57627499573569,8.585548947868985e-298,37.574514942310174,6.736836597878367e-309,0.22090850312623797,7.515787296777652e-303,0.22090850312623797,7.296584362087653e-300,0.027336162461923663,1.9024786409858904e-05,0.0,0.0,0.0,0.0,0.22090850312623797,7.296584362087653e-300,0.003068762609420908,3595.5,0.0,0.0,0.0,0.0
HCT-116_CEBPB,65931.0,65931.0,15342.0,30358.0,411.8,2082.0,80.0600213281462,0.0,82.12512208816851,0.0,0.20356129893373381,0.0,0.20356129893373381,0.0,0.01079916882801718,0.0004530133384868456,2600.0,369.0,7.29,0.0,0.20356129893373381,0.0,0.0016089781598911937,7762.0,0.0,0.0,0.0,0.0
SUM159PT_CEBPB,99584.0,99584.0,13631.0,20977.25,302.0,1444.0,50.38211772791844,0.0,63.049000186513254,0.0,0.1483628605880716,0.0,0.1483628605880716,0.0,0.011206619537275064,3.6609275154434136e-06,0.0,0.0,0.0,0.0,0.1483628605880716,0.0,0.001180323945905123,24922.0,0.0,0.0,0.0,0.0
K562_CEBPB,65525.5,65525.5,16234.25,30595.5,415.0,2088.225,53.854004495201494,0.0,70.85176732909363,0.0,0.182972927692006,0.0,0.182972927692006,0.0,0.015673495000356273,1.6298721554528182e-09,2373.5,401.25,5.2075,2.1674999999999987e-258,0.182972927692006,0.0,0.0014807146833425398,9229.5,0.0,0.0,0.0,0.0
HepG2_CEBPD,29714.0,29714.0,25955.5,64988.0,873.325,4500.95,70.26282237175255,0.0,67.47318154147831,0.0,0.25853133203203876,0.0,0.25853133203203876,0.0,0.02582957528437774,2.3954301029494364e-09,1046.0,89.0,12.15,2.509999999999999e-211,0.25853133203203876,0.0,0.0022251874946314443,3579.0,0.0,0.0,3.4469930694636174e-92,0.0
JHU-06_CEBPD,26075.0,26075.0,42467.0,73743.0,969.0,5055.15,34.946482298649485,1.7802029851399207e-264,40.0769488541765,0.0,0.17033557046979864,0.0,0.17033557046979864,0.0,0.019712368168744,3.900309301497149e-05,0.0,0.0,0.0,0.0,0.17033557046979864,0.0,0.002411536736819469,10355.0,2.8512435124105635e-115,0.0,0.0,0.0
K562_CEBPD,40820.0,40820.0,18748.0,47853.0,635.595,3278.425,80.99471235120487,0.0,83.11103557451051,0.0,0.27061489465948063,0.0,0.27061489465948063,0.0,0.020186183243508068,5.853732945373641e-08,2596.0,248.0,11.11,0.0,0.27061489465948063,0.0,0.002035392024237506,6119.0,0.0,0.0,0.0,0.0
MCF-7_CEBPG,10385.5,10385.5,131184.0,186869.125,2461.3625,13278.8125,16.570395618006717,8.656381668946971e-58,16.90891489390453,2.454898241476477e-59,0.11784702245823278,2.103487277450864e-61,0.11784702245823278,1.5677203812097195e-61,0.020175555127214806,0.017907070698420822,190.5,18.0,10.760000000000002,1.9457099999999998e-36,0.11784702245823278,1.5677203812097195e-61,0.0036565593808594744,1026.0,2.77044023738531e-51,8.715414236701594e-54,4.2346254263805e-31,4.390792055638881e-53
K562_CEBPG,47990.5,47990.5,23706.5,41301.125,519.1775,2866.5625,46.835325267075255,0.0,57.330052830451905,0.0,0.18220248291754557,0.0,0.18220248291754557,0.0,0.019122353096277273,2.698148633840974e-08,1588.0,259.5,6.275,3.174999999999998e-203,0.18220248291754557,0.0,0.0017290450621783961,6827.5,0.0,0.0,5.764827205099994e-203,0.0
LoVo_CLOCK,13129.0,13129.0,62466.0,143137.5,1105.62,8977.3,37.65584334543243,3.2371949695821556e-302,37.98082180506982,0.0,0.2316627313580623,3.2836509319337e-310,0.2316627313580623,8.055460560093472e-307,0.028181887424784835,2.8790063877739785e-05,0.0,0.0,0.0,0.0,0.2316627313580623,8.055460560093472e-307,0.003888070842088116,765.0,1.160459490367135e-131,0.0,0.0,1.1617270613466646e-133
U2OS_CLOCK,11628.0,11628.0,86555.0,161326.25,1311.05,10306.8,26.177675975714166,6.905277955913357e-149,27.588349454983295,1.5358528912075005e-167,0.18498452012383895,1.283730788268641e-174,0.18498452012383895,1.297622548707309e-173,0.02459580323357413,0.0008596411458763791,0.0,0.0,0.0,0.0,0.18498452012383895,1.297622548707309e-173,0.004013829473646587,736.0,4.514128790766769e-65,3.578921178351681e-73,0.0,8.24507004303249e-76
ECC-1_CREB1,12893.0,12893.0,62287.0,136059.0,1671.28,8955.3,35.34008880033384,3.3662558349638597e-267,35.83931003795594,2.795979869044591e-281,0.22050725199720778,1.0689570555664748e-275,0.22050725199720778,4.841910073885541e-273,0.02644846040487081,0.00011793540973787587,0.0,0.0,0.0,0.0,0.22050725199720778,4.841910073885541e-273,0.0036883904076838612,2461.0,1.872019709393538e-116,1.4360774237795802e-122,0.0,5.433822172852231e-119
H1_CREB1,59313.0,59313.0,19905.0,30039.0,419.12,2001.8,51.24216578625477,0.0,47.06494361995237,0.0,0.12443309223947531,0.0,0.12443309223947531,0.0,0.012619493197106924,7.804424597155924e-05,1189.0,195.0,6.2,6.2699999999999974e-176,0.12443309223947531,0.0,0.001849626032069477,7757.0,0.0,0.0,8.13617120460634e-77,0.0
LoVo_CREB1,11658.0,11658.0,62261.5,150925.5,1829.67,9909.75,39.85399507535348,0.0,38.166573430468574,0.0,0.24249442442957628,3.168441882861233e-302,0.24249442442957628,1.4860556949691292e-298,0.026848516040487214,0.00021812679480414323,0.0,0.0,0.0,0.0,0.24249442442957628,1.4860556949691292e-298,0.003757496432695605,779.0,0.0,0.0,0.0,4.518125410423688e-130
HepG2_CREB1,33622.0,33622.0,24892.5,52354.25,686.235,3460.575,58.788391328293585,0.0,60.24491500108877,0.0,0.22426301484424005,0.0,0.22426301484424005,0.0,0.020091992473343038,1.6482075488159322e-06,1051.0,92.5,11.33,2.5984999999999985e-209,0.22426301484424005,0.0,0.0021607588885354328,6581.0,0.0,0.0,0.0,0.0
A549_CREB1,13580.0,13580.0,59197.5,129396.0,1609.27,8569.900000000001,37.13453989914339,1.8136555699186163e-294,36.92193331909661,2.0615152948935983e-298,0.21977172312223858,1.821257648843625e-288,0.21977172312223858,1.1413588720292166e-285,0.024410898379970458,0.00029861862359613475,0.0,0.0,0.0,0.0,0.21977172312223858,1.1413588720292166e-285,0.0037867047144015406,4015.0,0.0,0.0,0.0,0.0
GM12878_CREB1,69557.0,69557.0,12482.0,25703.5,364.0,1722.1999999999998,82.82987238596846,0.0,85.22014703466738,0.0,0.20892217893238646,0.0,0.20892217893238646,0.0,0.017819917477752134,2.510290790066336e-10,2185.0,344.0,6.53,0.0,0.20892217893238646,0.0,0.0016699677490188325,11480.0,0.0,0.0,0.0,0.0
H3396_CREB1,7550.0,7550.0,211728.0,233508.75,2882.215,15285.6,4.014098426027286,5.997216747104258e-05,3.786474968797477,0.00015341483740382152,0.03788079470198676,3.9364952844372026e-05,0.03788079470198676,1.9682476422186135e-05,0.006423841059602649,0.7323107867911112,0.0,0.0,0.0,0.0,0.03788079470198676,1.9682476422186135e-05,0.003974835108033257,1308.0,0.014668539408808606,0.022056837468502614,0.0,0.009041589773574941
K562_CREB1,35099.0,35099.0,22005.0,50142.5,658.5,3301.45,65.90184799075054,0.0,67.79067492318421,0.0,0.23606085643465624,0.0,0.23606085643465624,0.0,0.017849511382090677,1.3668509240313673e-05,2344.0,282.0,8.84,0.0,0.23606085643465624,0.0,0.002329555137183122,4344.0,0.0,0.0,0.0,0.0
LNCaP_CREB1,28793.5,28793.5,40537.5,61884.5,801.7225,4087.1499999999996,32.0821829825788,1.3530993153934906e-213,34.71919793759891,2.2013822072558124e-259,0.1376682122333762,1.1516057936306986e-238,0.1376682122333762,3.449494572951584e-238,0.016026385605158955,0.0005620865373848319,1217.0,239.25,5.1725,3.852499999999999e-128,0.1376682122333762,3.449494572951584e-238,0.002519254257059075,6191.5,0.0,0.0,0.0,0.0
