,#TFBS_nonBlackList,#TFMS,TFBS_nonBlackList dis-to-neighbor median,TFMS dis-to-neighbor median,TFMS percentile-1,TFMS percentile-5,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater,TFBS_nonBlackList overlap SE,TFMS overlap SE,fisher_exact_s,fisher_exact_p,log10-dis ks_2samp-s signed,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s signed std,PeaksFCAbove10
786-O_SPI1_55392,15299.0,15299.0,72834.0,126238.5,1693.79,9017.0,22.863320154883333,1.0029156353385052e-114,30.067927473243728,1.2897280590185636e-198,0.17805085299692788,1.3245626855745927e-212,0.17805085299692788,2.0522669315295054e-211,0.026243545329760087,2.5862974815718605e-05,0.0,0.0,0.0,0.0,0.17805085299692788,2.0522669315295054e-211,0.0029547478343230397,673.0
A375_SP1_72611,5150.0,5150.0,131501.0,301892.25,1100.505,14122.075,19.295606300313814,1.593435490241384e-81,20.090397175733514,9.045545061721347e-90,0.21000000000000002,8.866186165307772e-100,0.21000000000000002,4.4330930826539063e-100,0.03067961165048544,0.007846650390561361,0.0,0.0,0.0,0.0,0.21000000000000002,4.4330930826539063e-100,0.005351881644412859,1461.0
A375_SP1_72612,12356.0,12356.0,63057.0,123032.5,200.2,4613.0,25.607044740524287,9.40432497041257e-143,27.666369840108956,1.8093906407049138e-168,0.1752185173195209,2.3133338311901166e-166,0.1752185173195209,1.4966538206060512e-165,0.023794108125607002,0.0008944854716144845,0.0,0.0,0.0,0.0,0.1752185173195209,1.4966538206060512e-165,0.0040193021433145935,4794.0
A375_TFAP2C_39978,72112.0,72112.0,14085.0,18611.75,100.0,644.0,28.936945600913198,1.3852435530312627e-183,33.95254171191971,1.2090762497920365e-252,0.08388340359440871,3.685592955076073e-221,0.08388340359440871,3.961860766811233e-221,0.021653816285777682,2.0236838876881026e-15,0.0,0.0,0.0,0.0,0.08388340359440871,3.961860766811233e-221,0.0013894167774067055,26038.0
A549_BHLHE40_45557,5230.0,5230.0,139602.0,332590.75,2834.105,20505.9,22.617766371718208,1.2900761859892458e-110,23.42424545722851,2.4200372002413517e-121,0.23604206500956026,3.740928636251218e-128,0.23604206500956026,1.8704643181256143e-128,0.034416826003824084,0.00203825809939858,0.0,0.0,0.0,0.0,0.23604206500956026,1.8704643181256143e-128,0.0061882628434801615,972.0
A549_CEBPB_45559,110743.0,110743.0,13846.0,19124.5,287.71000000000004,1316.55,42.37058831742297,0.0,51.440562555374754,0.0,0.10712640979565302,0.0,0.10712640979565302,0.0,0.007580614576090588,0.0017099896057397358,0.0,0.0,0.0,0.0,0.10712640979565302,0.0,0.001058995865051351,25266.0
A549_CEBPB_46074,61119.0,61119.0,16603.0,32614.5,440.0,2215.45,69.45151717867506,0.0,74.8257457753125,0.0,0.20234297027111042,0.0,0.20234297027111042,0.0,0.018226738002912357,1.4925005931412654e-09,0.0,0.0,0.0,0.0,0.20234297027111042,0.0,0.0019111680883993742,10920.0
A549_CEBPB_62929,6707.0,6707.0,128024.0,282959.5,3685.8500000000004,19593.449999999997,28.161006840013744,1.4658043578693332e-169,25.452535149937585,6.623887047653336e-143,0.22841807067243178,1.0778031382503952e-153,0.22841807067243178,5.3890156912520205e-154,0.03235425674668257,0.0008924183918822467,0.0,0.0,0.0,0.0,0.22841807067243178,5.3890156912520205e-154,0.004545947080516163,1425.0
A549_CEBPB_62938,11658.0,11658.0,72618.0,162817.0,2156.5299999999997,11241.5,35.67257308137644,2.3138701938093187e-271,34.37321773970792,6.582321604213701e-259,0.2302710585006005,4.2027435727708986e-272,0.2302710585006005,3.401074182329485e-269,0.030451192314290613,1.958739200255356e-05,0.0,0.0,0.0,0.0,0.2302710585006005,3.401074182329485e-269,0.0031746796071037,2824.0
A549_CEBPB_62939,15565.0,15565.0,57640.0,122142.0,1579.6,8437.1,37.83870090238232,2.500860118154195e-306,38.13293915552359,0.0,0.21680051397365888,1.344e-321,0.21680051397365888,1.54533e-318,0.02685512367491172,1.2977456518400971e-05,0.0,0.0,0.0,0.0,0.21680051397365888,1.54533e-318,0.003274469039967873,2886.0
A549_CEBPB_62940,24096.0,24096.0,37353.0,79373.0,1049.375,5469.875,48.18245837573058,0.0,48.29888014346314,0.0,0.2170069721115538,0.0,0.2170069721115538,0.0,0.02357237715803462,1.496049481751709e-06,0.0,0.0,0.0,0.0,0.2170069721115538,0.0,0.0029786397755780666,6817.0
A549_CEBPB_63003,27435.0,27435.0,34863.0,69940.0,922.04,4799.2,46.62490597925941,0.0,49.04946112642687,0.0,0.20406415163112812,0.0,0.20406415163112812,0.0,0.021705850191361398,2.3826129307572855e-06,0.0,0.0,0.0,0.0,0.20406415163112812,0.0,0.0022806001730856116,7631.0
A549_CEBPB_63004,12114.0,12114.0,73408.5,157028.0,2057.865,10906.775,35.35286524208185,5.493252412466908e-267,34.402446805633204,2.4532457259047465e-259,0.22040614165428432,6.87585420927698e-259,0.22040614165428432,2.1318271904495144e-256,0.028850916295195594,4.0595656596764826e-05,0.0,0.0,0.0,0.0,0.22040614165428432,2.1318271904495144e-256,0.0030484654415686226,2615.0
A549_CEBPB_63152,9468.0,9468.0,88621.5,200162.0,2703.68,13966.35,33.18091299203287,1.0323616118131655e-234,31.41245379331322,1.4685705909425867e-216,0.23230882974228984,2.3781220058002897e-224,0.23230882974228984,1.1890610029001379e-224,0.029784537389100123,0.00022485875740564459,0.0,0.0,0.0,0.0,0.23230882974228984,1.1890610029001379e-224,0.003478842001732391,2126.0
A549_CEBPB_63153,9985.0,9985.0,87302.0,190124.0,2504.12,13080.7,31.826975604363334,7.392849291585144e-217,31.141224635624535,6.674516035216283e-213,0.22313470205307961,4.169712582278488e-218,0.22313470205307961,2.08485629113924e-218,0.031046569854782168,6.602340621033127e-05,0.0,0.0,0.0,0.0,0.22313470205307961,2.08485629113924e-218,0.004544758088799283,2392.0
A549_CEBPB_63154,4804.0,4804.0,184097.5,396531.25,5358.145,27934.225,22.951136207262316,1.632873831832477e-113,20.819691295655627,2.940848659458708e-96,0.22616569525395505,4.743615476989348e-108,0.22616569525395505,2.3718077384946728e-108,0.033097418817651963,0.0051802455465888644,0.0,0.0,0.0,0.0,0.22616569525395505,2.3718077384946728e-108,0.005149547784499261,1098.0
A549_CEBPB_63231,14088.0,14088.0,62962.5,135120.25,1732.57,9325.55,38.233572625483575,0.0,37.33803580808616,3.9667517929250935e-305,0.22096819988642816,1.5031573850161623e-302,0.22096819988642816,1.4593167677318587e-299,0.02931572969903473,5.359112926311876e-06,0.0,0.0,0.0,0.0,0.22096819988642816,1.4593167677318587e-299,0.0031831949449946345,3570.0
A549_CEBPB_63232,20913.0,20913.0,41356.0,91424.5,1207.8,6227.7,45.96673921618335,0.0,46.862918841888714,0.0,0.22751398651556448,0.0,0.22751398651556448,0.0,0.025725625209200083,9.506574987871445e-07,0.0,0.0,0.0,0.0,0.22751398651556448,0.0,0.002999643264962316,5575.0
A549_CEBPB_63414,10680.0,10680.0,81975.5,177573.25,2315.745,12297.675,33.41644213686636,1.0870935210635142e-238,32.847797566110195,1.2274690841815641e-236,0.22228464419475652,3.0307449526323843e-232,0.22228464419475652,5.304425255700665e-230,0.029119850187265924,0.00011330885264515933,0.0,0.0,0.0,0.0,0.22228464419475652,5.304425255700665e-230,0.0042141573335033825,1873.0
A549_CEBPB_63415,48474.0,48474.0,21196.0,40511.0,538.865,2792.475,58.008220871548104,0.0,63.04374178080585,0.0,0.19269092709493751,0.0,0.19269092709493751,0.0,0.018019969468168584,1.433028060656091e-07,0.0,0.0,0.0,0.0,0.19269092709493751,0.0,0.0019602788970708935,13512.0
A549_CEBPB_63605,16101.0,16101.0,62844.0,117996.5,1562.0,8194.5,33.53834511526,2.0023920496669797e-242,34.31669086050864,4.506524461023607e-258,0.1880317992671263,1.1670405740639008e-249,0.1880317992671263,4.974694725242331e-248,0.02555741879386375,2.6400610311847546e-05,0.0,0.0,0.0,0.0,0.1880317992671263,4.974694725242331e-248,0.003289968454273212,4021.0
A549_CEBPB_63606,14996.0,14996.0,61058.5,126692.0,1657.9,8749.25,37.9673185561201,3.991772810333783e-308,37.59078988908741,3.097100982454093e-309,0.2140904241130968,5.134822765927427e-302,0.2140904241130968,3.0493106416186114e-299,0.0260736196319018,3.6403017234269455e-05,0.0,0.0,0.0,0.0,0.2140904241130968,3.0493106416186114e-299,0.0028301895475338853,3621.0
A549_CEBPB_63665,33150.0,33150.0,30557.0,58274.75,765.47,4016.45,49.491028629343205,0.0,51.62134323624927,0.0,0.19266968325791856,0.0,0.19266968325791856,0.0,0.020045248868778343,1.6089649583999147e-06,0.0,0.0,0.0,0.0,0.19266968325791856,0.0,0.002460143942365176,9322.0
A549_CEBPB_63666,5754.0,5754.0,146146.5,329529.75,4420.17,23017.65,25.125162581194736,1.1562950837587607e-135,23.13596969255707,2.031313780259401e-118,0.2322732012513034,1.8470684733632855e-136,0.2322732012513034,9.23534236681647e-137,0.03354188390684741,0.0015426783466519608,0.0,0.0,0.0,0.0,0.2322732012513034,9.23534236681647e-137,0.004971406638831507,1001.0
A549_CEBPB_63667,27103.0,27103.0,34279.0,70847.0,919.52,4851.3,48.41302189506601,0.0,50.38941209917773,0.0,0.21204294727520936,0.0,0.21204294727520936,0.0,0.02270966313692213,8.313139740319965e-07,0.0,0.0,0.0,0.0,0.21204294727520936,0.0,0.0023937008995314245,7804.0
A549_CEBPB_64016,10127.0,10127.0,86213.0,187584.5,2444.62,13087.05,33.25391314213192,3.9131382853985906e-236,31.666155131929877,4.577557486180925e-220,0.2253382047990521,2.032932238011722e-226,0.2253382047990521,3.7883829827748717e-224,0.03021625357953983,9.36084548544424e-05,0.0,0.0,0.0,0.0,0.2253382047990521,3.7883829827748717e-224,0.0040093065849426375,2383.0
A549_CEBPB_64017,11640.0,11640.0,76055.0,163399.25,2127.95,11307.65,34.17693418679233,7.860145856936087e-250,33.67440511725169,1.4389221011387084e-248,0.2211769759450172,1.5838925779633034e-250,0.2211769759450172,4.1539187030581e-248,0.02852233676975935,7.500632277386129e-05,0.0,0.0,0.0,0.0,0.2211769759450172,4.1539187030581e-248,0.0033550932368362494,3133.0
A549_CEBPB_64280,6905.0,6905.0,128319.0,275250.0,3649.26,19172.8,27.894977586284327,1.2268563469097414e-166,25.172334996064226,8.249666207803224e-140,0.2238233164373642,6.493324063985505e-152,0.2238233164373642,3.2466620319927595e-152,0.03178855901520637,0.0009323617733667693,0.0,0.0,0.0,0.0,0.2238233164373642,3.2466620319927595e-152,0.0041408700397355365,1788.0
A549_CEBPB_64281,21983.0,21983.0,47705.0,87034.5,1163.38,5996.7,35.69025242204222,4.85724256125695e-275,37.55823999553294,1.0376572213302646e-308,0.18025292271300553,5.92248285803e-313,0.18025292271300553,5.406791086779e-311,0.022244461629440937,1.846218081716425e-05,0.0,0.0,0.0,0.0,0.18025292271300553,5.406791086779e-311,0.002746697613361782,5903.0
A549_CEBPB_64398,14880.0,14880.0,57820.0,127985.0,1673.975,8855.3,39.784913052845255,0.0,38.89159490242609,0.0,0.2263440860215054,0.0,0.2263440860215054,0.0,0.02956989247311825,2.171000187624306e-06,0.0,0.0,0.0,0.0,0.2263440860215054,0.0,0.0030179935359481505,4103.0
A549_CEBPB_64399,30422.0,30422.0,31586.0,63291.25,831.21,4323.675,49.48419479804387,0.0,52.061940780864816,0.0,0.2049832358161857,0.0,0.2049832358161857,0.0,0.021185326408520166,1.1509628858028123e-06,0.0,0.0,0.0,0.0,0.2049832358161857,0.0,0.002553721704870305,7147.0
A549_CEBPB_64400,28275.0,28275.0,31828.0,67995.5,895.0,4689.85,51.164179021673476,0.0,54.23199979537766,0.0,0.22084880636604778,0.0,0.22084880636604778,0.0,0.022740937223695856,4.3620061553043136e-07,0.0,0.0,0.0,0.0,0.22084880636604778,0.0,0.0023384253504364757,6970.0
A549_CEBPB_64669,19687.0,19687.0,45847.0,96962.5,1272.29,6662.05,41.89312959712596,0.0,43.01170939681707,0.0,0.21529435668207447,0.0,0.21529435668207447,0.0,0.02377203230558234,1.438847309691235e-05,0.0,0.0,0.0,0.0,0.21529435668207447,0.0,0.002924226976737132,4606.0
A549_CEBPB_64670,12234.0,12234.0,70996.0,155092.75,2046.965,10723.55,35.333011518250025,9.678490247717885e-267,35.173328963730484,5.114892251897955e-271,0.224660781428805,1.2049162580951457e-271,0.224660781428805,6.700771684879021e-269,0.027873140428314513,7.244999005363189e-05,0.0,0.0,0.0,0.0,0.224660781428805,6.700771684879021e-269,0.0035859751898011877,1976.0
A549_CEBPB_64671,14092.0,14092.0,62195.0,134686.5,1803.3200000000002,9429.325,37.31384908908906,1.717109787072937e-297,37.86483368392902,0.0,0.22356656258870283,7.4339367915552e-310,0.22356656258870283,1.0468567202430041e-306,0.027817201248935608,1.7874059416373465e-05,0.0,0.0,0.0,0.0,0.22356656258870283,1.0468567202430041e-306,0.0030890597772731936,2543.0
A549_CREB1_37305,7154.0,7154.0,106665.5,246548.75,3023.925,16254.6,27.345718807208016,1.5736779597689684e-160,27.44084660071347,8.962476864306275e-166,0.23203802068772714,3.131274242492098e-169,0.23203802068772714,1.5656371212460377e-169,0.027956388034665918,0.0037289997686937725,0.0,0.0,0.0,0.0,0.23203802068772714,1.5656371212460377e-169,0.004275615166180687,2002.0
A549_CREB1_37334,13580.0,13580.0,59197.5,129396.0,1609.27,8569.900000000001,37.13453989914339,1.8136555699186163e-294,36.92193331909661,2.0615152948935983e-298,0.21977172312223858,1.821257648843625e-288,0.21977172312223858,1.1413588720292166e-285,0.024410898379970458,0.00029861862359613475,0.0,0.0,0.0,0.0,0.21977172312223858,1.1413588720292166e-285,0.0037867047144015406,4015.0
A549_CREB1_37349,35514.0,35514.0,23532.5,49639.25,644.39,3260.0,65.07154420434946,0.0,62.09316499227238,0.0,0.20990313679112463,0.0,0.20990313679112463,0.0,0.01768316720166696,1.4772958602806939e-05,0.0,0.0,0.0,0.0,0.20990313679112463,0.0,0.002026392416522334,10246.0
A549_CTCF_45144,58973.0,58973.0,24289.0,26763.0,163.72,1283.8,-4.67684897669373,2.9205042301015073e-06,5.98899751038361,2.1115008521472482e-09,0.03235378902209485,3.0028488270715612e-27,0.03235378902209485,1.5045449333288807e-27,0.02708018923914335,1.6103060921564791e-19,0.0,0.0,0.0,0.0,0.03235378902209485,1.5045449333288807e-27,0.0012862596853596081,31703.0
A549_CTCF_45146,69818.0,69818.0,20632.0,22517.5,130.0,1057.7,-8.265338150226235,1.4081014445565988e-16,4.3250473173216335,1.5249996906594766e-05,0.0345469649660546,1.250796374634173e-36,0.030780028072989796,1.8320100778300147e-29,0.0345469649660546,6.317264790775425e-37,0.0,0.0,0.0,0.0,-0.0345469649660546,6.317264790775425e-37,0.014952139098304559,36750.0
A549_CTCF_45550,34496.0,34496.0,39142.5,46383.75,323.0,2388.375,4.415333224796118,1.0101804687899236e-05,11.613353193638844,3.52779978817835e-31,0.0507160250463822,5.4428170205410995e-39,0.0507160250463822,2.8119783084660627e-39,0.015653988868274585,0.0002099149776132442,0.0,0.0,0.0,0.0,0.0507160250463822,2.8119783084660627e-39,0.0020214382399260144,17580.0
A549_CTCF_45551,59760.0,59760.0,24049.5,26436.75,160.385,1272.5,-5.298916967768659,1.1685466957845721e-07,5.524056786808729,3.350803697018292e-08,0.032914993306559615,1.4722969163930865e-28,0.03263888888888894,2.1865871140197755e-28,0.030304551539491312,1.4193440699147275e-24,0.0,0.0,0.0,0.0,0.03263888888888894,7.392089680863809e-29,0.020686188819199078,37242.0
A549_CTCF_45556,53258.0,53258.0,24766.5,29711.5,186.0,1454.925,7.85747299747406,3.968266848008022e-15,16.468431353009823,6.1946122534788085e-61,0.05420781854369297,1.884653179027433e-68,0.05420781854369297,1.023887205232211e-68,0.013472154418115587,6.254296669478124e-05,0.0,0.0,0.0,0.0,0.05420781854369297,1.023887205232211e-68,0.001787223107811785,31961.0
A549_CTCF_45558,127649.0,127649.0,10708.0,12130.0,58.0,513.0,4.40327390198753,1.0693753401462196e-05,18.760975054569123,1.575292889911263e-78,0.061434088790354835,7.66772528962151e-210,0.061434088790354835,5.60037549497534e-210,0.026243840531457355,6.40903687321152e-39,0.0,0.0,0.0,0.0,0.061434088790354835,5.60037549497534e-210,0.0008771015725967773,38564.0
A549_CTCF_46053,48382.0,48382.0,27639.0,32809.0,208.31,1624.0,6.264761555076012,3.76513271153858e-10,14.672140231353179,9.736006802600773e-49,0.05242652226034478,3.1565547052256378e-58,0.05242652226034478,1.6803534752423115e-58,0.012049935926584265,0.0008786160304645207,0.0,0.0,0.0,0.0,0.05242652226034478,1.6803534752423115e-58,0.001789418604572359,32973.0
A549_CTCF_46063,43527.0,43527.0,30512.0,36468.5,239.76,1821.65,7.8888543554477,3.0860743854379346e-15,15.256382528321495,1.4972560835843683e-52,0.053254301927539244,4.769551994815794e-54,0.053254301927539244,2.5362116372077455e-54,0.011418200197578516,0.003392243766895989,0.0,0.0,0.0,0.0,0.053254301927539244,2.5362116372077455e-54,0.002058247233994669,29371.0
A549_E2F6_46071,26173.0,26173.0,30115.0,62182.5,24.0,1422.6,42.242066156988315,0.0,46.554984130970524,0.0,0.18933633897527985,0.0,0.18933633897527985,0.0,0.02651587513850151,9.9217827285279e-09,0.0,0.0,0.0,0.0,0.18933633897527985,0.0,0.0023792797609597086,2938.0
A549_ELF1_46059,25452.0,25452.0,32199.5,74931.25,749.0,5054.15,56.624368485277245,0.0,57.6057057466992,0.0,0.24243674367436746,0.0,0.24243674367436746,0.0,0.02547933364765048,6.502383364271149e-08,0.0,0.0,0.0,0.0,0.24243674367436746,0.0,0.002551592124208796,2679.0
A549_ETS1_46068,18838.0,18838.0,40613.0,101041.0,1049.8449999999998,6818.325,52.86466591295262,0.0,51.76506466184796,0.0,0.2588385178893726,0.0,0.2588385178893726,0.0,0.02988639983013064,4.781485344491597e-08,0.0,0.0,0.0,0.0,0.2588385178893726,0.0,0.0028983917016040233,1607.0
A549_FOSL2_46072,64890.0,64890.0,15154.5,28227.75,1.0,729.45,28.133288459323577,1.3134641182086263e-173,66.14781637522641,0.0,0.18032824780397594,0.0,0.18032824780397594,0.0,0.03634612421020188,5.7285029848804e-38,0.0,0.0,0.0,0.0,0.18032824780397594,0.0,0.0014067864645253972,11336.0
A549_FOSL2_62626,5498.0,5498.0,149985.5,343999.5,3170.755,22908.699999999997,24.062799128888578,9.96550629895156e-125,22.878153291931014,7.717560315063178e-116,0.23799563477628227,5.928008425836953e-137,0.23799563477628227,2.9640042129184766e-137,0.03819570753001091,0.0003280580044971145,0.0,0.0,0.0,0.0,0.23799563477628227,2.9640042129184766e-137,0.004876666976290948,844.0
